Seq. No.,2022 NAICS US   Code,2022 NAICS US Title,
1,11,"Agriculture, Forestry, Fishing and Hunting",
132,21,"Mining, Quarrying, and Oil and Gas Extraction",
173,22,Utilities,
198,23,Construction,
271,31,Manufacturing,
271,32,Manufacturing,
271,33,Manufacturing,
901,42,Wholesale Trade,
1062,44,Retail Trade,
1062,45,Retail Trade,
1201,48,Transportation and Warehousing,
1201,49,Transportation and Warehousing,
1341,51,Information,
1412,52,Finance and Insurance,
1491,53,Real Estate and Rental and Leasing,
1544,54,"Professional, Scientific, and Technical Services",
1639,55,Management of Companies and Enterprises,
1646,56,Administrative and Support and Waste Management and Remediation Services,
1733,61,Educational Services,
1771,62,Health Care and Social Assistance,
1863,71,"Arts, Entertainment, and Recreation",
1924,72,Accommodation and Food Services,
1958,81,Other Services (except Public Administration),
2051,92,Public Administration,
2099,24,"Lumber And Wood Products, Except Furniture",